Paper_id;Audiogram_id;Species;Breed;Method;Notes;Sample.size;Individuum_ID;Sex;Life_stage;Age;Age_dimension;Freq;Dimension;Threshold_dB_mean;Threshold_dB_lower;Threshold_dB_upper;CI_type;Range_low;Range_high;Data_type;Threshold_dB_mean_extracted;Method_grouped;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;1000;Hz;46,2;7,2;7,2;se;25;65;measured;4138;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;2000;Hz;37,5;6,4;6,4;se;25;55;measured;3333;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;4000;Hz;40;2,7;2,7;se;35;45;measured;3859;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;8000;Hz;25;2,7;2,7;se;15;35;measured;2516;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;16000;Hz;28,8;3,2;3,2;se;15;35;measured;2785;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;24000;Hz;35;3,8;3,8;se;15;45;measured;3478;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;32000;Hz;28,8;4,6;4,6;se;15;45;measured;2785;PHYSIOLOGICAL;
P001;P001_A01;microtus ochrogaster;NA;ABR (auditory brainstem response);Animals were tested between 9?a.m. and 3?p.m. during their light cycle.;7;NA;male;adult;177.3?ñ?27.0;days;46000;Hz;38,8;4,2;4,2;se;25;55;measured;3736;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;366 ñ 23.8;days;2000;Hz;33,58;3,1;3,8;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;367 ñ 23.8;days;4000;Hz;28,39;2,4;3,1;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;368 ñ 23.8;days;8000;Hz;38,08;2;3,4;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
P002;P002_A01;cavia porcellus;NA;ABR (auditory brainstem response);Control;9;NA;mixed;adult;369 ñ 23.8;days;10000;Hz;39,21;2,4;3,6;se;NA;NA;extracted;NA;PHYSIOLOGICAL;
